Dutch,English
printer,printer
scanner,scanner
camera,camera
speaker,speaker
koptelefoon,headphones
batterij,battery
oplader,charger
kabel,cable
stekker,plug
schakelaar,switch
lamp,lamp
licht,light
elektriciteit,electricity
energie,energy
stroom,electricity
gas,gas
water,water
riolering,sewage
afval,waste
vuilnisbak,trash can
recycling,recycling
milieu,environment
natuur,nature
klimaat,climate
weer,weather
temperatuur,temperature
graden,degrees
celsius,celsius
fahrenheit,fahrenheit
barometer,barometer
thermometer,thermometer
kompas,compass
kaart,map
gps,gps
richting,direction
noorden,north
zuiden,south
oosten,east
westen,west
afstand,distance
kilometer,kilometer
meter,meter
centimeter,centimeter
millimeter,millimeter
gewicht,weight
kilogram,kilogram
gram,gram
volume,volume
liter,liter
snelheid,speed
per,per
uur,hour
minuut,minute
seconde,second
beweging,movement
rust,rest
stilstand,standstill
actie,action
activiteit,activity
werk,work
taak,task
opdracht,assignment
verantwoordelijkheid,responsibility
plicht,duty
rol,role
functie,function
positie,position
rangorde,ranking
niveau,level
graad,degree
kwaliteit,quality
kwantiteit,quantity
maat,size
grootte,size
vorm,shape
structuur,structure
ontwerp,design
stijl,style
mode,fashion
trend,trend
cultuur,culture
traditie,tradition
gewoonte,habit
ceremonie,ceremony
ritueel,ritual
festival,festival
concert,concert
theater,theater
bioscoop,cinema
museum,museum
galerie,gallery
bibliotheek,library
universiteit,university
college,college
instituut,institute
organisatie,organization
vereniging,association
club,club
team,team
groep,group
gemeenschap,community
samenleving,society
bevolking,population
burger,citizen
inwoner,resident
buitenlander,foreigner
toerist,tourist
bezoeker,visitor
gast,guest
gastheer,host
gastvrouw,hostess
eigenaar,owner
baas,boss
werkgever,employer
werknemer,employee
klant,customer
koper,buyer
verkoper,seller
leverancier,supplier
concurrent,competitor
partner,partner
bondgenoot,ally
vijand,enemy
vriend,friend
kennismaking,acquaintance
buurman,neighbor
buurvrouw,neighbor
huisgenoot,housemate
kamergenoot,roommate
medebewoner,co-resident
huisbaas,landlord
huurder,tenant
verhuurder,landlord
makelaar,real estate agent
architect,architect
ingenieur,engineer
technicus,technician
monteur,mechanic
elektricien,electrician
loodgieter,plumber
schilder,painter
timmerman,carpenter
bouwer,builder
arbeider,worker
vakman,craftsman
kunstenaar,artist
musicus,musician
zanger,singer
acteur,actor
schrijver,writer
dichter,poet
journalist,journalist
fotograaf,photographer
regisseur,director
producent,producer
presentator,presenter
commentator,commentator
interviewer,interviewer
reporter,reporter
nieuwslezer,news reader
weerman,weather forecaster
sportverslaggever,sports reporter
politicus,politician
diplomaat,diplomat
ambassadeur,ambassador
consul,consul
minister,minister
burgemeester,mayor
raadslid,council member
parlement,parliament
senaat,senate
kamer,chamber
regering,government
kabinet,cabinet
coalitie,coalition
oppositie,opposition
partij,party
verkiezingen,elections
stemmen,to vote
stemming,voting
uitslag,result
campagne,campaign
kandidaat,candidate
leider,leader
voorzitter,chairman
secretaris,secretary
penningmeester,treasurer
lid,member
bestuur,board
commissie,committee
vergadering,meeting
conferentie,conference
symposium,symposium
seminar,seminar
workshop,workshop
training,training
cursus,course
les,lesson
college,lecture
presentatie,presentation
lezing,lecture
toespraak,speech
debat,debate
onderzoek,research
studie,study
experiment,experiment
test,test
proef,trial
analyse,analysis
statistiek,statistics
cijfer,number
getal,number
rekening,calculation
som,sum
resultaat,result
uitkomst,outcome
conclusie,conclusion
bewijs,proof
feit,fact
waarheid,truth
leugen,lie
verhaal,story
sprookje,fairy tale
mythe,myth
legende,legend
geschiedenis,history
verleden,past
heden,present
toekomst,future
periode,period
tijdperk,era
eeuw,century
decennium,decade
generatie,generation
leeftijd,age
geboorte,birth
dood,death
leven,life
bestaan,existence
realiteit,reality
werkelijkheid,reality
fantasie,fantasy
verbeelding,imagination
droom,dream
nachtmerrie,nightmare
slaap,sleep
wakker,awake
bewustzijn,consciousness
gedachte,thought
herinnering,memory
vergeten,to forget
herinderen,to remember
leren,to learn
onderwijzen,to teach
uitleggen,to explain
begrijpen,to understand
snappen,to get
bevatten,to grasp
kennen,to know
weten,to know
geloven,to believe
vertrouwen,to trust
twijfelen,to doubt
hopen,to hope
wensen,to wish
willen,to want
verlangen,to desire
behoeven,to need
nodig hebben,to need
vereisen,to require
eisen,to demand
verzoeken,to request
vragen,to ask
smeken,to beg
dwingen,to force
overtuigen,to convince
overreden,to persuade
adviseren,to advise
suggereren,to suggest
voorstellen,to propose
aanbieden,to offer
geven,to give
schenken,to give
doneren,to donate
delen,to share
verdelen,to divide
splitsen,to split
scheiden,to separate
verenigen,to unite
samenbrengen,to bring together
combineren,to combine
mengen,to mix
mixen,to mix
roeren,to stir
kloppen,to beat
slaan,to hit
stoten,to push
trekken,to pull
duwen,to push
tillen,to lift
dragen,to carry
brengen,to bring
halen,to get
ophalen,to pick up
wegbrengen,to take away
meenemen,to take along
achterlaten,to leave behind
verlaten,to leave
vertrekken,to depart
aankomen,to arrive
bereiken,to reach
naderen,to approach
afstand houden,to keep distance
vluchten,to flee
ontsnappen,to escape
verbergen,to hide
verstoppen,to hide
zoeken,to search
vinden,to find
ontdekken,to discover
uitvinden,to invent
creëren,to create
maken,to make
bouwen,to build
construeren,to construct
ontwerpen,to design
plannen,to plan
organiseren,to organize
regelen,to arrange
voorbereiden,to prepare
klaarmaken,to prepare
afmaken,to finish
voltooien,to complete
eindigen,to end
stoppen,to stop
pauzeren,to pause
onderbreken,to interrupt
doorgaan,to continue
hervatten,to resume
herhalen,to repeat
oefenen,to practice
trainen,to train
ontwikkelen,to develop
verbeteren,to improve
repareren,to repair
herstellen,to restore
schoonmaken,to clean
wassen,to wash
drogen,to dry
strijken,to iron
vouwen,to fold
opruimen,to tidy up
sorteren,to sort
rangschikken,to arrange
indelen,to classify
groeperen,to group
verzamelen,to collect
sparen,to save
bewaren,to keep
opslaan,to store
wegleggen,to put away
plaatsen,to place
zetten,to put
leggen,to lay
hangen,to hang
bevestigen,to attach
vastmaken,to fasten
binden,to tie
knopen,to knot
loslaten,to let go
loskoppelen,to disconnect
aansluiten,to connect
verbinden,to connect
koppelen,to link
linken,to link
communiceren,to communicate
praten,to talk
spreken,to speak
zeggen,to say
vertellen,to tell
meedelen,to inform
berichten,to message
bellen,to call
opbellen,to call
terugbellen,to call back
ophangen,to hang up
luisteren,to listen
horen,to hear
verstaan,to understand
fluisteren,to whisper
schreeuwen,to shout
roepen,to call
zingen,to sing
neuriën,to hum
lachen,to laugh
glimlachen,to smile
grijnzen,to grin
huilen,to cry
snikken,to sob
jammeren,to wail
klagen,to complain
zeuren,to nag
mopperen,to grumble
protesteren,to protest
bezwaar maken,to object
kritiek hebben,to criticize
prijzen,to praise
complimenteren,to compliment
bedanken,to thank
verontschuldigen,to apologize
excuses maken,to apologize
sorry zeggen,to say sorry
spijt hebben,to regret
berouw hebben,to repent
vergeven,to forgive
straffen,to punish
belonen,to reward
feliciteren,to congratulate
wensen,to wish
groeten,to greet
welkom heten,to welcome
afscheid nemen,to say goodbye
dag zeggen,to say goodbye
vaarwel zeggen,to say farewell
tot ziens zeggen,to say see you later
doei zeggen,to say bye
hoi zeggen,to say hi
hallo zeggen,to say hello
goedemorgen zeggen,to say good morning
goedemiddag zeggen,to say good afternoon
goedenavond zeggen,to say good evening
goedenacht zeggen,to say good night
welterusten zeggen,to say sleep well
droom zacht,sweet dreams
slaap lekker,sleep well
rust uit,rest well
zorg goed voor jezelf,take care of yourself
pas goed op jezelf,take care of yourself
hou je taai,hang in there
veel succes,good luck
succes ermee,good luck with it
het beste,all the best
veel plezier,have fun
geniet ervan,enjoy it
fijn weekend,nice weekend
prettige vakantie,nice vacation
goede reis,safe trip
behouden thuiskomst,safe return home
van harte gefeliciteerd,heartfelt congratulations
gefeliciteerd,congratulations
proficiat,congratulations
hoera,hurray
fantastisch,fantastic
geweldig,great
super,super
top,top
prima,fine
goed zo,well done
uitstekend,excellent
perfect,perfect
prachtig,beautiful
mooi,beautiful
lief,sweet
schattig,cute
leuk,nice
fijn,fine
prettig,pleasant
aangenaam,pleasant
gezellig,cozy
ontspannen,relaxed
rustig,calm
vredig,peaceful
stil,quiet
druk,busy
hectisch,hectic
chaotisch,chaotic
wild,wild
gek,crazy
mal,silly
grappig,funny
lollig,funny
komisch,comical
hilarisch,hilarious
belachelijk,ridiculous
absurd,absurd
raar,weird
vreemd,strange
eigenaardig,peculiar
ongewoon,unusual
bijzonder,special
uniek,unique
zeldzaam,rare
kostbaar,precious
waardevol,valuable
dierbaar,dear
belangrijk,important
essentieel,essential
noodzakelijk,necessary
verplicht,mandatory
optioneel,optional
vrijwillig,voluntary
automatisch,automatic
handmatig,manual
persoonlijk,personal
privé,private
openbaar,public
algemeen,general
specifiek,specific
precies,precise
exact,exact
ongeveer,approximately
min of meer,more or less
zo'n beetje,kind of
een beetje,a bit
iets,something
niets,nothing
alles,everything
veel,much
weinig,little
genoeg,enough
te veel,too much
te weinig,too little
meer,more
minder,less
het meest,most
het minst,least
overal,everywhere
ergens,somewhere
nergens,nowhere
hier,here
daar,there
ginds,over there
links,left
rechts,right
rechtdoor,straight ahead
terug,back
vooruit,forward
omhoog,up
omlaag,down
binnen,inside
buiten,outside
thuis,home
weg,away
dichtbij,nearby
ver,far
vlakbij,close by
in de buurt,nearby
verderop,further away
hiernaast,next to this
daarnaast,next to that
tegenover,opposite
achter,behind
voor,in front of
tussen,between
onder,under
boven,above
naast,next to
langs,along
door,through
rond,around
rondom,around
om,around
over,over
via,via
per,per
volgens,according to
ondanks,despite
behalve,except
inclusief,including
exclusief,excluding
plus,plus
minus,minus
keer,times
gedeeld door,divided by
procent,percent
ongeveer,about
circa,approximately
rond,around
tegen,against
vanaf,from
tot,until
sinds,since
gedurende,during
tijdens,during
na,after
voor,before
eerder,earlier
later,later
vroeg,early
laat,late
op tijd,on time
te laat,too late
te vroeg,too early
precies op tijd,exactly on time
bijna,almost
net,just
pas,just
nog,still
al,already
niet meer,no longer
nog niet,not yet
nog steeds,still
altijd,always
nooit,never
soms,sometimes
vaak,often
zelden,rarely
regelmatig,regularly
gewoonlijk,usually
normaal,normally
meestal,mostly
af en toe,occasionally
nu en dan,now and then
elke dag,every day
iedere dag,every day
dagelijks,daily
wekelijks,weekly
maandelijks,monthly
jaarlijks,yearly
eenmalig,one-time
voortdurend,constantly
continu,continuously
permanent,permanently
tijdelijk,temporarily
definitief,definitively
voorgoed,forever
voor altijd,forever
eeuwig,eternal
oneindig,infinite
beperkt,limited
onbeperkt,unlimited
volledig,complete
gedeeltelijk,partially
half,half
kwart,quarter
derde,third
helft,half
stuk,piece
deel,part
geheel,whole
totaal,total
som,sum
bedrag,amount
aantal,number
hoeveelheid,quantity
maat,size
afmeting,dimension
lengte,length
breedte,width
hoogte,height
diepte,depth
dikte,thickness
gewicht,weight
massa,mass
volume,volume
inhoud,content
capaciteit,capacity
snelheid,speed
tempo,pace
ritme,rhythm
frequentie,frequency
herkomst,origin
bestemming,destination
doel,goal
reden,reason
oorzaak,cause
gevolg,consequence
effect,effect
invloed,influence
impact,impact
resultaat,result
uitkomst,outcome
conclusie,conclusion
eind,end
slot,end
afsluiting,closure
opening,opening
begin,beginning
start,start
aanvang,beginning
inleiding,introduction
voorwoord,preface
hoofdstuk,chapter
paragraaf,paragraph
zin,sentence
woord,word
letter,letter
cijfer,digit
teken,sign
symbool,symbol
punt,point
komma,comma
vraagteken,question mark
uitroepteken,exclamation mark
dubbele punt,colon
puntkomma,semicolon
apostrof,apostrophe
aanhalingsteken,quotation mark
streepje,dash
koppelteken,hyphen
accent,accent
hoofdletter,capital letter
kleine letter,lowercase letter
spelling,spelling
grammatica,grammar
taal,language
dialect,dialect
accent,accent
uitspraak,pronunciation
betekenis,meaning
definitie,definition
vertaling,translation
woordenboek,dictionary
encyclopedie,encyclopedia
atlas,atlas
kaart,map
diagram,diagram
grafiek,graph
tabel,table
lijst,list
overzicht,overview
samenvatting,summary
verslag,report
rapport,report
document,document
bestand,file
tekst,text
artikel,article
essay,essay
verhaal,story
roman,novel
gedicht,poem
lied,song
script,script
scenario,scenario
toneelstuk,play
film,movie
documentaire,documentary
serie,series
aflevering,episode
seizoen,season
knal,episode
